,album_photo_id,created_at,object_url,is_flagged,address,broad_district,country,formatted_address,lattitude,locality,longitude,narrow_district,zip,photo_source,photo_submitter,photo_url,thumbnail_url,title,type,instagram_likes,instagram_comments,from_instagram_id,from_twitter_id,instagram_followers,instagram_user_name,twitter_user_name,updated_at,can,logo
0,3448232,2013-06-19T21:34:28Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448232,FALSE,,,,,,,,,,instagram,carlaercole,http://distilleryimage9.s3.amazonaws.com/6c5300bad92711e2a77722000a1fbc49_7.jpg,http://distilleryimage9.s3.amazonaws.com/6c5300bad92711e2a77722000a1fbc49_5.jpg,#Brasil #cocacola #riodejaneiro #maracana #copa #instagram,image,2013-06-19T21:34:28Z,,,,,,,,,
1,3448228,2013-06-19T21:34:27Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448228,FALSE,,,,,,,,,,instagram,katyasheldon,http://distilleryimage10.s3.amazonaws.com/1e8c24bad92711e2a67b22000a9e0056_7.jpg,http://distilleryimage10.s3.amazonaws.com/1e8c24bad92711e2a67b22000a9e0056_5.jpg,2011 with @dynamitowadama â__ #baseball #sporty #outfit #sport #tanktop #cocacola #girl #ombrehair #ombre #oldies #snapshot #usaflag #usa #flag #nails #art #bandana #katyasheldon,image,2013-06-19T21:34:27Z,,,,,,,,,
2,3448225,2013-06-19T21:34:27Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448225,FALSE,,Minsk,Belarus,"Minskaya Voblasts', Belarus",53.9045,,27.461,,,instagram,vitalikuz,http://distilleryimage10.s3.amazonaws.com/b029e2b8d92711e2bf4822000a1ddbe2_7.jpg,http://distilleryimage10.s3.amazonaws.com/b029e2b8d92711e2bf4822000a1ddbe2_5.jpg,"__ÑƒÑ€ÑÅ_____°Ñè, Ñ‚Ñ‹ _´Ñƒ___°_µÑˆÑŒ Ñ‚Ñ‹ ÑÅ_¸_»ÑŒ___µ_µ _¸ Ñè Ñ‚_µ_±Ñè ___µ __Ñ‹ÑƒÑ‡Ñƒ,  _¿Ñ„Ñ„Ñ„Ñ„Ñ„, __Ñ‹_·____ _¿Ñ€_¸__ÑèÑ‚ #_ºÑƒÑ€ÑÅ_____°Ñè #Ñç_º_________¸_º_° #____Ñ‡ÑŒ #tuc #cocacola #ÑÅ____Ñƒ___´_¸Ñè___µÑ‚______",image,2013-06-19T21:34:27Z,,,,,,,,,
3,3448221,2013-06-19T21:34:26Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448221,FALSE,6 Rue de Marengo,IdF,France,"6 Rue de Marengo, 75001 1er Arrondissement",48.861981,1er Arrondissement,2.339509,Paris,75001,instagram,megdlv,http://distilleryimage3.s3.amazonaws.com/9122777013a911e2830722000a1f9d75_7.jpg,http://distilleryimage3.s3.amazonaws.com/9122777013a911e2830722000a1f9d75_5.jpg,Petit goÃ»ter parisien.,image,2013-06-19T21:34:26Z,,,,,,,,,
4,3448220,2013-06-19T21:34:25Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448220,TRUE,,,,,,,,,,instagram,paulstuart100,http://distilleryimage3.s3.amazonaws.com/f42d5d32d92711e2ba1322000ae91369_7.jpg,http://distilleryimage3.s3.amazonaws.com/f42d5d32d92711e2ba1322000ae91369_5.jpg,Roasting day and a crap time but it's done #lisburn10k #medal #cocacola #running,image,2013-06-19T21:34:25Z,,,,,,,,,
5,3448088,2013-06-19T21:32:26Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448088,FALSE,,Capital Region,Denmark,"3300 FrederiksvÃ_rk, Denmark",55.99074987,FrederiksvÃ_rk,12.03059441,HalsnÃ_s,3300,instagram,mariavkaas,http://distilleryimage3.s3.amazonaws.com/e22dc028d92611e29cb522000a1f9215_7.jpg,http://distilleryimage3.s3.amazonaws.com/e22dc028d92611e29cb522000a1f9215_5.jpg,#moving in is hard ï˜“ï˜_,image,2013-06-19T21:32:26Z,,,,,,,,,
6,3448084,2013-06-19T21:32:25Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448084,FALSE,TomtbergavÃ_gen 50,Stockholm County,Sweden,"TomtbergavÃ_gen 50, SE-145 67 Norsborg, Sweden",59.2487658,Norsborg,17.8325628,Botkyrka,145 67,instagram,emelievictoriaw,http://distilleryimage2.s3.amazonaws.com/285609f2d92711e2ae6922000ae902d1_7.jpg,http://distilleryimage2.s3.amazonaws.com/285609f2d92711e2ae6922000ae902d1_5.jpg,Oyeah! :D #delaencokemedmig#emelie#syster#caroline#cocacola#gott,image,2013-06-19T21:32:25Z,,,,,,,,,
7,3448070,2013-06-19T21:32:21Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448070,FALSE,,,,,,,,,,instagram,shanimashal,http://distilleryimage6.s3.amazonaws.com/1bb0205cd92711e2890322000a9e48f1_7.jpg,http://distilleryimage6.s3.amazonaws.com/1bb0205cd92711e2890322000a9e48f1_5.jpg,#shani #name #coca #cola #happy #red #cocacola #supermarket #food #drink #friend #instemessege #instacollage #instegram,image,2013-06-19T21:32:21Z,,,,,,,,,
8,3448067,2013-06-19T21:32:21Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448067,FALSE,ramp,NC,United States,"ramp, Raleigh, NC 27612",35.83489306,Raleigh,-78.67351012,Wake Co.,27612,instagram,istricklyspeakfemale,http://distilleryimage1.s3.amazonaws.com/2526b5f6d92711e28f8f22000a9e07b9_7.jpg,http://distilleryimage1.s3.amazonaws.com/2526b5f6d92711e28f8f22000a9e07b9_5.jpg,Haven't seen a real can of #cocacola in a minute!,image,2013-06-19T21:32:21Z,,,,,,,,,
9,3448064,2013-06-19T21:32:20Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448064,FALSE,PraÃ§a 5 de Outubro 30,Porto,Portugal,"PraÃ§a 5 de Outubro 30, 4475-601 Maia, Portugal",41.26499353,Maia,-8.612924241,Porto,4475-601,instagram,joseph_monteiro,http://distilleryimage9.s3.amazonaws.com/784781f8d92611e2b8e822000a1fbcc7_7.jpg,http://distilleryimage9.s3.amazonaws.com/784781f8d92611e2b8e822000a1fbcc7_5.jpg,#coke #cocacola #wine #dinner #friends #fun,image,2013-06-19T21:32:20Z,,,,,,,,,
10,3448061,2013-06-19T21:32:18Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448061,FALSE,,,,,,,,,,instagram,jessvickerstho,http://distilleryimage6.s3.amazonaws.com/3118f5fed92711e29a6422000a9e06c4_7.jpg,http://distilleryimage6.s3.amazonaws.com/3118f5fed92711e29a6422000a9e06c4_5.jpg,Share a coke with me guys #share #a #Diet #Coke #with #Jessica #lawl #fullname #CocaCola #Diet #yummy #drink #ShareWith #me #hahaha,image,2013-06-19T21:32:18Z,,,,,,,,,
11,3448054,2013-06-19T21:32:16Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448054,FALSE,,,,,,,,,,instagram,theroky,http://distilleryimage2.s3.amazonaws.com/40ecffe8d92711e28bc322000a9d0dcb_7.jpg,http://distilleryimage2.s3.amazonaws.com/40ecffe8d92711e28bc322000a9d0dcb_5.jpg,#love #love #love #love #coca #cola #cocacola #red #today,image,2013-06-19T21:32:16Z,,,,,,,,,
12,3448050,2013-06-19T21:32:15Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448050,FALSE,,,,,,,,,,instagram,emmaforresterxx,http://distilleryimage11.s3.amazonaws.com/650d206ad92711e2af2c22000a1f9069_7.jpg,http://distilleryimage11.s3.amazonaws.com/650d206ad92711e2af2c22000a1f9069_5.jpg,found my name :D #emma #cocacola #happy,image,2013-06-19T21:32:15Z,,,,,,,,,
13,3448044,2013-06-19T21:32:14Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448044,FALSE,,,,,,,,,,instagram,rachbouch,http://distilleryimage10.s3.amazonaws.com/3f2f918ed92711e2b7a722000a9e5154_7.jpg,http://distilleryimage10.s3.amazonaws.com/3f2f918ed92711e2b7a722000a9e5154_5.jpg,probably closest ill get to finding one with my name on #speltwrong #cocacola #rachel #name #shareacoke #yay,image,2013-06-19T21:32:14Z,,,,,,,,,
14,3448040,2013-06-19T21:32:13Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448040,FALSE,,,,,,,,,,instagram,monellaloca,http://distilleryimage4.s3.amazonaws.com/4f8b28c2d92711e296ed22000aaa0a30_7.jpg,http://distilleryimage4.s3.amazonaws.com/4f8b28c2d92711e296ed22000aaa0a30_5.jpg,Anche la cocacola lo sa !,image,2013-06-19T21:32:13Z,,,,,,,,,
15,3448033,2013-06-19T21:32:12Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448033,FALSE,,,,,,,,,,instagram,wackabell,http://distilleryimage7.s3.amazonaws.com/70fee83cd92611e2a0a822000a1fbd23_7.jpg,http://distilleryimage7.s3.amazonaws.com/70fee83cd92611e2a0a822000a1fbd23_5.jpg,#new #haircut #top #chinos #me #miami #boy #miamitop #scarf #OOTD,image,2013-06-19T21:32:12Z,,,,,,,,,
16,3448031,2013-06-19T21:32:12Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448031,FALSE,,,,,,,,,,instagram,beabionda,http://distilleryimage6.s3.amazonaws.com/7ebb5590d92711e29d0322000a1f97e3_7.jpg,http://distilleryimage6.s3.amazonaws.com/7ebb5590d92711e29d0322000a1f97e3_5.jpg,#watching#confederationcup#with#my#sister#cocacola#pringles#instagood,image,2013-06-19T21:32:12Z,,,,,,,,,
17,3448028,2013-06-19T21:32:11Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448028,FALSE,,,,,,,,,,instagram,malik4d,http://distilleryimage4.s3.amazonaws.com/cd5ec0cad92611e2ba0522000ae8030f_7.jpg,http://distilleryimage4.s3.amazonaws.com/cd5ec0cad92611e2ba0522000ae8030f_5.jpg,Les amis sont vraiment la famille que l'on a choisit. #Ami #Friend #Famille #CocaCola #Drink #Boisson #Love #Peace #World #InstaFriends ...,image,2013-06-19T21:32:11Z,,,,,,,,,
18,3448014,2013-06-19T21:32:07Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448014,FALSE,37 Rue 12,Mount Lebanon,Lebanon,"37 Rue 12, Borj Hammoud, Lebanon",33.89451555,Borj Hammoud,35.53897976,Maten,,instagram,georges_assaad,http://distilleryimage8.s3.amazonaws.com/515dcbdcd92711e2bba622000a1fbc9c_7.jpg,http://distilleryimage8.s3.amazonaws.com/515dcbdcd92711e2bba622000a1fbc9c_5.jpg,#coca#cocacola#ilove#chelsea#chelseabotle#cfc#KTBFFH#ineedone,image,2013-06-19T21:32:07Z,,,,,,,,,
19,3448008,2013-06-19T21:32:06Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448008,FALSE,,,,,,,,,,instagram,koron1,http://distilleryimage8.s3.amazonaws.com/50f9b732d92711e29ae122000a1f9a03_7.jpg,http://distilleryimage8.s3.amazonaws.com/50f9b732d92711e29ae122000a1f9a03_5.jpg,#cocacola #cola #fresh #drink #summer #name #cool #instaname #picoftheday #bestshot #f4f #igers #igersnapoli #red #alwayscocacola,image,2013-06-19T21:32:06Z,,,,,,,,,1
20,3448004,2013-06-19T21:32:05Z,http://api.pixlee.com/v1/360/albums/1230/photos/3448004,FALSE,,,,,,,,,,instagram,captainscarlet22,http://distilleryimage10.s3.amazonaws.com/57a39c38d92711e2a1ff22000a1fcee4_7.jpg,http://distilleryimage10.s3.amazonaws.com/57a39c38d92711e2a1ff22000a1fcee4_5.jpg,Yay #coke #cocacola #promotion #shareacokewith #phil #charlotte,image,2013-06-19T21:32:05Z,,,,,,,,,
21,3447989,2013-06-19T21:32:01Z,http://api.pixlee.com/v1/360/albums/1230/photos/3447989,FALSE,11998 239 St,BC,Canada,"11998 239 St, Maple Ridge, BC V4R, Canada",49.2186929,Maple Ridge,-122.5587672,Greater Vancouver,V4R,instagram,reach4dastarz,http://distilleryimage11.s3.amazonaws.com/65c5f482d92711e2b3f322000a1f96e5_7.jpg,http://distilleryimage11.s3.amazonaws.com/65c5f482d92711e2b3f322000a1f96e5_5.jpg,Got this from Canada #Cocacola #vanilla  #sogood #cocacolavanilla #lovely,image,2013-06-19T21:32:01Z,,,,,,,,1,
22,3447985,2013-06-19T21:32:00Z,http://api.pixlee.com/v1/360/albums/1230/photos/3447985,FALSE,,,,,,,,,,instagram,anxo_sk8,http://distilleryimage11.s3.amazonaws.com/7a0152e8d92711e28df922000a9f1991_7.jpg,http://distilleryimage11.s3.amazonaws.com/7a0152e8d92711e28df922000a9f1991_5.jpg,La mafia cena #pizza #cocacola #likeaboss #Ã‘amÃ‘am #ComidaDeLaBuenaYDelPalo,image,2013-06-19T21:32:00Z,,,,,,,,,
23,3447984,2013-06-19T21:31:59Z,http://api.pixlee.com/v1/360/albums/1230/photos/3447984,FALSE,,,,,,,,,,instagram,raffgraam,http://distilleryimage8.s3.amazonaws.com/587eeba8d92711e29c4c22000a9e0896_7.jpg,http://distilleryimage8.s3.amazonaws.com/587eeba8d92711e29c4c22000a9e0896_5.jpg,Pipoquinha doce + Coca-Cola *â€”* dlÃ§ haha #follow #f4f #followme #TagsForLikes #TFLers #followforfollow #follow4follow #teamfollowback #followher #followbackteam #followhim #followall #followalways #followback #me #love #pleasefollow #follows #follower #pipoca #cocacola :),image,2013-06-19T21:31:59Z,,,,,,,,,
